Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2012М07,Број,127 Други нестанбени згради,5
2012М08,Број,11 Станови во станбени објекти (згради),618
2012М08,Број,111 Станови во објекти (згради) со еден стан,70
2012М08,Број,112 Станови во објекти (згради) со два и повеќе стана,548
2012М08,Број,12 Нестанбени згради,37
2012М08,Број,121 Хотели и слични згради,5
2012М08,Број,122 Деловни згради,1
2012М08,Број,123 Згради во трговијата на големо и на мало,10
2012М08,Број,124 Згради за сообраќај и други комуникации,2
2012М08,Број,125 Индустриски згради и складишта,13
2012М08,Број,127 Други нестанбени згради,6
2012М09,Број,11 Станови во станбени објекти (згради),476
2012М09,Број,111 Станови во објекти (згради) со еден стан,86
2012М09,Број,112 Станови во објекти (згради) со два и повеќе стана,390
2012М09,Број,12 Нестанбени згради,31
2012М09,Број,122 Деловни згради,2
2012М09,Број,123 Згради во трговијата на големо и на мало,14
2012М09,Број,124 Згради за сообраќај и други комуникации,2
2012М09,Број,125 Индустриски згради и складишта,9
2012М09,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2012М09,Број,127 Други нестанбени згради,3
2012М10,Број,11 Станови во станбени објекти (згради),501
2012М10,Број,111 Станови во објекти (згради) со еден стан,85
2012М10,Број,112 Станови во објекти (згради) со два и повеќе стана,416
2012М10,Број,12 Нестанбени згради,34
2012М10,Број,121 Хотели и слични згради,3
2012М10,Број,122 Деловни згради,3
2012М10,Број,123 Згради во трговијата на големо и на мало,2
2012М10,Број,124 Згради за сообраќај и други комуникации,1
2012М10,Број,125 Индустриски згради и складишта,22
2012М10,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2012М10,Број,127 Други нестанбени згради,2
2012М11,Број,11 Станови во станбени објекти (згради),647
2012М11,Број,111 Станови во објекти (згради) со еден стан,72
2012М11,Број,112 Станови во објекти (згради) со два и повеќе стана,575
2012М11,Број,12 Нестанбени згради,26
